,strDrink,idDrink,strDrinkAlternate,strDrinkES,strDrinkDE,strDrinkFR,strDrinkZH-HANS,strDrinkZH-HANT,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strInstructionsES,strInstructionsDE,strInstructionsFR,strInstructionsZH-HANS,strInstructionsZH-HANT,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strCreativeCommonsConfirmed,dateModified
198,Gin Squirt,11418,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.",,,,,,Gin,Grenadine,Powdered sugar,Pineapple,Strawberries,Carbonated water,,,,,,,,,,1 1/2 oz ,1 tsp ,1 tblsp ,3 chunks,2 ,,,,,,,,,,,No,2017-09-08 16:15:02
199,Gin Swizzle,11419,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda.",,"In einem Shaker, der halb mit Eiswürfeln gefüllt ist, Limettensaft, Zucker, Gin und Bitter vermengen. Gut schütteln. Füllen Sie ein gekühltes Glas mit Eiswürfel. Rühren Sie, bis das Glas mattiert ist. Die Mischung im Shaker in das Glas abseihen und das Club-Soda hinzufügen.",,,,Lime juice,Sugar,Gin,Bitters,Club soda,,,,,,,,,,,1 1/2 oz ,1 tsp superfine ,2 oz ,1 dash ,3 oz ,,,,,,,,,,,No,2017-09-08 16:20:26
200,Gin Toddy,11420,,,,,,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.",,"Puderzucker und Wasser in einem old-fashioned Glas mischen. Gin und einen Eiswürfel dazugeben. Umrühren, Zitronenschale hinzufügen und servieren.",,,,Gin,Water,Powdered sugar,Lemon peel,,,,,,,,,,,,2 oz ,2 tsp ,1/2 tsp ,1 twist of ,,,,,,,,,,,,Yes,2017-09-07 22:45:24
201,Grass Skirt,11433,,,,,,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.",,"In einem Shaker, der halb mit Eiswürfel gefüllt ist, den Gin, die Triple Sec, Ananassaft und Grenadine miteinander vermengen. Gut schütteln. In ein old-fashioned Glas geben und mit der Ananasscheibe garnieren.",,,,Gin,Triple sec,Pineapple juice,Grenadine,Pineapple,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,1/2 tsp ,1 ,,,,,,,,,,,No,2016-09-14 23:19:46
202,Hawaiian Cocktail,11472,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",,"Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.",,,,Gin,Triple sec,Pineapple juice,,,,,,,,,,,,,2 oz ,1/2 oz ,1 tblsp ,,,,,,,,,,,,,No,2017-09-08 16:03:07
203,Imperial Cocktail,12706,,,,,,,,,Cocktail,,Alcoholic,Cocktail glass,Shake with ice and strain into cocktail glass.,,Mit Eis schütteln und in ein Cocktailglas abseihen.,,,,Lime juice,Gin,Aperol,,,,,,,,,,,,,4 cl ,2 cl ,4 cl ,,,,,,,,,,,,,No,2017-02-20 15:13:45
204,Jewel Of The Nile,11566,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",,"In einem Mischglas, das halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut umrühren. In ein Cocktailglas abseihen.",,,,Gin,Green Chartreuse,Yellow Chartreuse,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,,,No,2017-09-08 16:35:48
205,Lady Love Fizz,11634,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve.",,,,,,Gin,Light cream,Powdered sugar,Lemon,Egg white,Carbonated water,,,,,,,,,,2 oz ,2 tsp ,1 tsp ,Juice of 1/2,1 ,,,,,,,,,,,No,2017-09-08 16:41:03
206,London Town,11662,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",,"In einem Mischglas, das halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut umrühren. In ein Cocktailglas abseihen.",,,,Gin,Maraschino liqueur,Orange bitters,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,2 dashes ,,,,,,,,,,,,,No,2016-07-19 11:18:27
207,Lone Tree Cocktail,11664,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Stir ingredients with ice, strain into a cocktail glass, and serve.",,"Zutaten mit Eis verrühren, in ein Cocktailglas abseihen und servieren.",,,,Sweet Vermouth,Gin,,,,,,,,,,,,,,3/4 oz ,1 1/2 oz ,,,,,,,,,,,,,,No,2016-07-19 11:16:57
208,Lone Tree Cooler,11666,,,,,,,,,Ordinary Drink,,Alcoholic,Collins glass,"Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass.",,"Puderzucker und 2 oz. kohlensäurehaltiges Wasser in einem Collins-Glas verrühren. Das Glas mit Eis füllen, Gin und Wermut hinzufügen und umrühren. Mit kohlensäurehaltigem Wasser auffüllen und erneut umrühren. Fügen Sie die Zitronen- und die Orangenspirale hinzu, so dass das Ende über den Glasrand baumelt.",,,,Carbonated water,Gin,Dry Vermouth,Powdered sugar,Orange spiral,Lemon peel,,,,,,,,,,,,,,,,,,,,,,,,,No,2016-11-16 12:14:45
209,Martinez 2,17256,,,,,,,,,Cocktail,,Alcoholic,Cocktail glass,"Add all ingredients to a mixing glass and fill with ice.

Stir until chilled, and strain into a chilled coupe glass.",,Alle Zutaten in ein Mischglas geben und mit Eis füllen. Bis zum Abkühlen umrühren und in ein gekühltes Coupéglas abseihen.,,,,Gin,Sweet Vermouth,Maraschino Liqueur,Angostura Bitters,,,,,,,,,,,,1 1/2 oz,1 1/2 oz,1 tsp,2 dashes,,,,,,,,,,,,No,2017-12-19 18:34:15
210,Martinez Cocktail,11720,,,,,,,,,Cocktail,,Alcoholic,Cocktail glass,Stir all ingredients (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,,Alle Zutaten (außer Kirsche) mit Eis verrühren und in ein Cocktailglas abseihen. Mit der Kirsche garnieren und servieren.,,,,Gin,Dry Vermouth,Triple sec,Orange bitters,Cherry,,,,,,,,,,,1 oz ,1 oz ,1/4 tsp ,1 dash ,1 ,,,,,,,,,,,No,2015-08-18 15:00:52
211,Martini,11728,,,,,,,,,Cocktail,Unforgettables,Alcoholic,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",,Direkt: Alle Zutaten in ein Mischglas mit Eiswürfeln geben. Gut umrühren. In einem gekühlten Martini-Cocktailglas abseihen. Den Saft aus der Zitronenschale auf das Getränk drücken oder mit Olive garnieren.,,,,Gin,Dry Vermouth,Olive,,,,,,,,,,,,,1 2/3 oz ,1/3 oz ,1 ,,,,,,,,,,,,,No,2017-09-02 12:51:35
212,Monkey Gland,17189,,,,,,,"IBA,Classic",,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,"Shake well over ice cubes in a shaker, strain into a chilled cocktail glass.",,"Im Shaker über Eiswürfel gießen, in ein gekühltes Cocktailglas abseihen.",,,,Gin,Benedictine,Orange juice,Grenadine,,,,,,,,,,,,2 oz ,1 tsp ,1/2 oz ,1 tsp ,,,,,,,,,,,,No,2017-09-02 12:11:31
213,Munich Mule,178315,,,,,,,,,Cocktail,,Alcoholic,Highball glass,"Fill glass with ice
Pour Gin and Lime Juice
Fill glass with Ginger Beer
Garnish with Cucumer and Lime slice",,,,,,Gin,Lime Juice,Ginger Beer,Cucumber,lemon,,,,,,,,,,,5 cl,2 cl,10 cl,Chopped,Chopped,,,,,,,,,,,Yes,
214,Negroni,11003,,,,,,,"IBA,Classic",,Ordinary Drink,Unforgettables,Alcoholic,Old-fashioned glass,"Stir into glass over ice, garnish and serve.",,"In ein Glas über das Eis gießen, garnieren und servieren.",,,,Gin,Campari,Sweet Vermouth,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,,Yes,2015-08-18 15:12:07
215,Orange Oasis,11870,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"Shake brandy, gin, and orange juice with ice and strain into a highball glass over ice cubes. Fill with ginger ale, stir, and serve.",,"Brandy, Gin und Orangensaft mit Eis schütteln und in ein Highball-Glas über Eiswürfel abseihen. Mit Ginger Ale füllen, umrühren und servieren.",,,,Cherry brandy,Gin,Orange juice,Ginger ale,,,,,,,,,,,,1/2 oz ,1 1/2 oz ,4 oz ,,,,,,,,,,,,,Yes,2015-09-02 05:25:23
216,Paradise,17190,,,,,,,IBA,,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,Shake together over ice. Strain into cocktail glass and serve chilled.,,Zusammen über Eis schütteln. In ein Cocktailglas abseihen und gekühlt servieren.,,,,Gin,Apricot Brandy,Orange Juice,,,,,,,,,,,,,7 parts,4 parts,3 parts ,,,,,,,,,,,,,No,2017-09-02 12:17:40
217,Pegu Club,17249,,,,,,,,,Cocktail,,Alcoholic,Cocktail glass,"Shake, strain, up, cocktail glass",,"Schütteln, abseihen, auffüllen, Cocktailglas.",,,,Gin,Orange Curacao,Lime Juice,Angostura Bitters,Orange Bitters,,,,,,,,,,,1 1/2 oz,3/4 oz,3/4 oz,1 dash,1 dash,,,,,,,,,,,No,2017-12-19 17:18:23
218,Pink Gin,11936,,,,,,,,,Ordinary Drink,,Alcoholic,White wine glass,"Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice.",,"Den Bitter in ein Weinglas gießen. Das Glas umrühren, um die Innenseite mit dem Bitter zu überziehen, den Überschuss ausschütten. Gießen Sie den Gin in das Glas. Füge kein Eis hinzu.",,,,Bitters,Gin,,,,,,,,,,,,,,3 dashes ,2 oz ,,,,,,,,,,,,,,No,2017-09-08 17:36:58
219,Pink Lady,11938,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",,"Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.",,,,Gin,Grenadine,Light cream,Egg white,,,,,,,,,,,,1 1/2 oz ,1 tsp ,1 tsp ,1 ,,,,,,,,,,,,No,2017-09-08 17:23:49
220,Poppy Cocktail,11959,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",,"Die Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.",,,,Gin,Creme de Cacao,,,,,,,,,,,,,,1 1/2 oz ,3/4 oz white ,,,,,,,,,,,,,,No,2017-09-02 23:05:15
221,Queen Elizabeth,11991,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",,"Alle Zutaten mit Eis verrühren, in ein Cocktailglas abseihen und servieren.",,,,Dry Vermouth,Gin,Benedictine,,,,,,,,,,,,,1/2 oz ,1 1/2 oz ,1 1/2 tsp ,,,,,,,,,,,,,No,2016-11-12 15:08:59
222,Rose,17208,,,,,,,"IBA,ContemporaryClassic",,Ordinary Drink,Contemporary Classics,Alcoholic,Cocktail glass,"Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.",,In einem Cocktailshaker vermengen und dann in ein gekühltes Glas abseihen. Garnieren und servieren.,,,,Dry Vermouth,Gin,Apricot brandy,Lemon juice,Grenadine,Powdered sugar,,,,,,,,,,1/2 oz ,1 oz ,1/2 oz ,1/2 tsp ,1 tsp ,,,,,,,,,,,No,2017-09-02 17:57:42
223,Rosemary Blue,17245,,,,,,,,,Cocktail,,Alcoholic,Balloon Glass,"1) Add the Bombay Sapphire, Blue Curacao, rosemary sprig and gently squeezed lemon wedge to a balloon glass. Swirl well to combine.
2) Fill with cubed ice and top with the Fever-Tree Light Tonic Water.
3) Gently fold with a bar spoon to mix.",,"Fügen Sie den Bombay Saphir, Blauen Curacao, Rosmarinzweig und den sanft ausgedrückten Zitronenkeil in ein Ballonglas ein. Gut mischen. Mit Eiswürfel füllen und mit dem Fever-Tree Light Tonic Water auffüllen. Vorsichtig mit einem Barlöffel zum Mischen verrühren.",,,,Gin,Blue Curacao,Tonic Water,Rosemary,,,,,,,,,,,,50 ml,15 ml,100 ml,Garnish with,,,,,,,,,,,,No,2017-12-04 16:55:43
224,Royal Fizz,12055,,,,,,,,,Ordinary Drink,,Alcoholic,Collins glass,Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.,,Alle Zutaten (außer Cola) mit Eis schütteln und in ein gekühltes Collins-Glas abseihen. Mit Cola auffüllen und servieren.,,,,Gin,Sweet and sour,Egg,Coca-Cola,,,,,,,,,,,,1 oz ,2 oz ,1 whole ,,,,,,,,,,,,,No,2017-09-02 23:16:49
225,Royal Gin Fizz,12057,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",,"Alle Zutaten (außer kohlensäurehaltigem Wasser) mit Eis schütteln und über zwei Eiswürfel in ein Highball-Glas sieben. Mit kohlensäurehaltigem Wasser auffüllen, umrühren und servieren.",,,,Gin,Lemon,Powdered sugar,Egg,Carbonated water,,,,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ,1 whole ,,,,,,,,,,,,No,2017-09-06 23:07:52
226,Ruby Tuesday,17114,,,,,,,,,Cocktail,,Alcoholic,Highball glass,Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.,,Gießen Sie Gin und Cranberry in einen mit Eiswürfeln gefüllten Highball. Grenadine zugeben und umrühren.,,,,Gin,Cranberry juice,Grenadine,,,,,,,,,,,,,2 oz ,5 oz ,2 splashes ,,,,,,,,,,,,,No,2015-09-06 16:30:37
227,Salted Toffee Martini,17233,,,,,,,,,Cocktail,,Alcoholic,Cocktail glass,"Add ice, toffee gin, chocolate liqueur and Amaretto to a cocktail shaker and shake vigorously. 
Pour the chocolate syrup into a saucer and dip the top of a martini glass into the sauce. Grate some of the Willie\'s sea salt chocolate into another saucer and dip the coated glass, so the flakes stick to the sauce, creating a chocolate rim!
Pour the contents of the shaker into your chocolatey glass and sprinkle with more grated chocolate - enjoy!  ",,"Eis, Toffee Gin, Schokoladenlikör und Amaretto in einen Cocktailshaker geben und kräftig schütteln.",,,,Gin,Chocolate liqueur,Amaretto,Chocolate Sauce,Salted Chocolate,,,,,,,,,,,50 ml ,30 ml ,15 ml,Garnish,Grated,,,,,,,,,,,No,2017-11-01 15:46:51
228,Salty Dog,12107,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)",,"Alle Zutaten über Eiswürfel in ein Highball-Glas gießen. Gut umrühren und servieren. (Wodka kann durch Gin ersetzt werden, wenn gewünscht.)",,,,Grapefruit juice,Gin,Salt,,,,,,,,,,,,,5 oz ,1 1/2 oz ,1/4 tsp ,,,,,,,,,,,,,No,2017-09-08 18:03:36
229,Singapore Sling,12214,,,,,,,"IBA,ContemporaryClassic",,Ordinary Drink,Contemporary Classics,Alcoholic,Hurricane glass,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,,Alle Zutaten in einen mit Eiswürfeln gefüllten Cocktailshaker geben. Gut schütteln. In ein Highball-Glas abseihen. Mit Ananas und Cocktailkirsche garnieren.,,,,Cherry brandy,Grenadine,Gin,Sweet and sour,Carbonated water,Cherry,,,,,,,,,,1/2 oz ,1/2 oz ,1 oz ,2 oz ,,,,,,,,,,,,Yes,2015-08-18 14:58:08
230,Surf City Lifesaver,12760,,,,,,,,,Ordinary Drink,,Alcoholic,Highball glass,Lots of ice and soda top up in tall glass with cherry and a grin.,,Viel Eis und Soda in einem hohen Glas mit Cherry und Gin auffüllen.,,,,Ouzo,Baileys irish cream,Gin,Grand Marnier,,,,,,,,,,,,1 part ,1 part ,2 parts ,1/2 part ,,,,,,,,,,,,No,2017-02-20 14:58:19
231,The Laverstoke,17824,,,,,,,,,Cocktail,,Alcoholic,Balloon Glass,"1) Squeeze two lime wedges into a balloon glass then add the cordial, Bombay Sapphire and MARTINI Rosso Vermouth, swirl to mix.

2) Fully fill the glass with cubed ice and stir to chill.

3) Top with Fever-Tree Ginger Ale and gently stir again to combine.

4) Garnish with a snapped ginger slice and an awoken mint sprig.",,"Zwei Limettenkeile in ein Ballonglas drücken und dann die Herznote, Bombay Sapphire und MARTINI Rosso Wermut hinzufügen, verrühren. Füllen Sie das Glas vollständig mit Eiswürfeln und rühren Sie es um, um es abzukühlen. Mit dem Fever-Tree Ginger Ale auffüllen und zum Mischen wieder leicht umrühren. Mit einer geöffneten Ingwerscheibe und einem Minzzweig garnieren.",,,,Gin,Elderflower cordial,Rosso Vermouth,Tonic Water,Lime,Ginger,Mint,,,,,,,,,50 ml,15 ml,15 ml,75 ml,2 Wedges,1 Slice,1 Large Sprig,,,,,,,,,No,2018-02-04 12:46:52
232,Tom Collins,12402,,,,,,,,,Ordinary Drink,,Alcoholic,Collins glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice.",,"In einem Shaker, der halb mit Eiswürfeln gefüllt ist, Gin, Zitronensaft und Zucker mischen. Gut schütteln. In ein Collins-Glas abseihen, das mit Eiswürfeln gefüllt ist. Füge das Club-Soda hinzu. Umrühren und mit der Kirsche und der Orangenscheibe garnieren.",,,,Gin,Lemon juice,Sugar,Club soda,Maraschino cherry,Orange,,,,,,,,,,2 oz ,1 oz ,1 tsp superfine ,3 oz ,1 ,1 ,,,,,,,,,,No,2015-08-18 15:21:22
233,Turf Cocktail,12418,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.,,Alle Zutaten (außer Orangenschale) mit Eis verrühren und in ein Cocktailglas abseihen. Orangenspirale hinzufügen und servieren.,,,,Dry Vermouth,Gin,Anis,Bitters,Orange peel,,,,,,,,,,,1 oz ,1 oz ,1/4 tsp ,2 dashes ,Twist of ,,,,,,,,,,,No,2015-09-06 16:46:07
234,Tuxedo Cocktail,12420,,,,,,,"IBA,Classic",,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.,,Alle Zutaten mit Eis verrühren und in ein Cocktailglas abseihen. Mit einer Kirsche und einem Schuss Zitrone garnieren.,,,,Dry Vermouth,Gin,Maraschino liqueur,Anis,Orange bitters,Cherry,,,,,,,,,,1 1/2 oz ,1 1/2 oz ,1/4 tsp ,1/4 tsp ,2 dashes ,1 ,,,,,,,,,,No,2017-09-02 12:42:31
235,Victor,12450,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",,"Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.",,,,Gin,Sweet Vermouth,Brandy,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,,,No,2017-04-23 20:40:16
236,Victor,12450,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",,"Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.",,,,Gin,Sweet Vermouth,Brandy,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,,,No,2017-04-23 20:40:16
237,Victor,12450,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",,"Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.",,,,Gin,Sweet Vermouth,Brandy,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,,,No,2017-04-23 20:40:16
238,Victor,12450,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",,"Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.",,,,Gin,Sweet Vermouth,Brandy,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,,,,,,No,2017-04-23 20:40:16
239,Waikiki Beachcomber,12474,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",,"Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.",,,,Triple sec,Gin,Pineapple juice,,,,,,,,,,,,,3/4 oz ,3/4 oz ,1 tblsp ,,,,,,,,,,,,,No,2015-09-02 16:43:03
240,White Lady,17194,,,,,,,"IBA,Classic",,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.,,Alle Zutaten in den mit Eis gefüllten Cocktailshaker geben. Gut schütteln und in ein großes Cocktailglas abseihen.,,,,Gin,Triple Sec,Lemon Juice,,,,,,,,,,,,,4cl,3cl,2cl,,,,,,,,,,,,,No,2017-09-02 12:49:52
241,110 in the shade,15423,,,,,,,,,Beer,,Alcoholic,Beer Glass,Drop shooter in glass. Fill with beer,,Shooter tröpfchenweise in ein Glas geben. Mit Bier füllen.,,,,Lager,Tequila,,,,,,,,,,,,,,16 oz ,1.5 oz ,,,,,,,,,,,,,,No,2016-02-03 14:51:57
242,Amaretto Stone Sour #3,16100,,,,,,,,,Other/Unknown,,Alcoholic,Highball glass,"Shake sour mix, tequila and amaretto with ice. Strain into highball glass. Add a splash of OJ. Garnish with orange slice and a cherry.",,"Sauergemisch, Tequila und Amaretto mit Eis schütteln. In ein Highball-Glas abseihen. Füge einen Spritzer OJ hinzu. Mit einer Orangenscheibe und einer Kirsche garnieren.",,,,Sour mix,Amaretto,Tequila,Orange juice,,,,,,,,,,,,2 oz ,2 oz ,2 oz ,Add splash ,,,,,,,,,,,,No,2016-09-01 09:53:32
243,Apple Grande,16289,,,,,,,,,Punch / Party Drink,,Alcoholic,Punch Bowl,Chill both ingredients!! Mix in a tumbler and enjoy!,,Kühlen Sie beide Zutaten herunter. In einem Becher mischen und genießen!,,,,Tequila,Apple cider,,,,,,,,,,,,,,3 oz ,12 oz ,,,,,,,,,,,,,,No,2016-08-31 19:37:02
244,Bloody Maria,11112,,,,,,,"Breakfast,Brunch,Hangover",,Ordinary Drink,,Alcoholic,Old-fashioned glass,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.,,Alle Zutaten (außer Zitronenscheibe) mit zerkleinertem Eis schütteln und über Eiswürfel in ein old-fashioned Glas seihen. Die Zitronenscheibe dazugeben und servieren.,,,,Tequila,Tomato juice,Lemon juice,Tabasco sauce,Celery salt,Lemon,,,,,,,,,,1 oz ,2 oz ,1 dash ,1 dash ,1 dash ,1 slice ,,,,,,,,,,No,2017-09-02 22:57:41
245,Blue Margarita,11118,,,,,,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve.",,"Den Rand des Cocktailglases mit Limettensaft einreiben. Den Rand in grobes Salz tauchen. Tequila, blauen Curacao und Limettensaft mit Eis schütteln, in das mit Salz umhüllte Glas abseihen und servieren.",,,,Tequila,Blue Curacao,Lime juice,Salt,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,Coarse ,,,,,,,,,,,,Yes,2015-08-18 14:51:53
246,Brave Bull Shooter,13068,,,,,,,,,Shot,,Alcoholic,Shot glass,Pour Tabasco into bottom of shot glass and fill with tequila.,,Tabasco auf den Boden des Schnapsglases geben und mit Tequila füllen.,,,,Tequila,Tabasco sauce,,,,,,,,,,,,,,1/2 oz ,1/2 oz ,,,,,,,,,,,,,,No,2016-09-08 15:23:45
247,Downshift,16991,,,,,,,,,Punch / Party Drink,,Alcoholic,Hurricane glass,"Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional.",,"Beginne mit dem Sprite. Als nächstes kommt der Tequila. Danach geben Sie die Minute Maid Fruit Punch hinzu, dann schwenken Sie die 151. Rocks optional.",,,,Fruit punch,Sprite,Tequila,151 proof rum,,,,,,,,,,,,2 part ,1 part ,2 shots ,Float Bacardi ,,,,,,,,,,,,No,2017-08-24 09:38:31
248,Margarita,11007,,,,,,,"IBA,ContemporaryClassic",,Ordinary Drink,Contemporary Classics,Alcoholic,Cocktail glass,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",,"Reiben Sie den Rand des Glases mit der Limettenscheibe, damit das Salz daran haftet. Achten Sie darauf, dass nur der äußere Rand angefeuchtet wird und streuen Sie das Salz darauf. Das Salz sollte sich auf den Lippen des Genießers befinden und niemals in den Cocktail einmischen. Die anderen Zutaten mit Eis schütteln und vorsichtig in das Glas geben.",,,,Tequila,Triple sec,Lime juice,Salt,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1 oz ,,,,,,,,,,,,,Yes,2015-08-18 14:42:59
249,Moranguito,16196,,,,,,,,,Shot,,Alcoholic,Shot glass,"first you put rhe absinthe, then put tequila, then put the Granadine syrup.",,"Erst den Absinth, dann den Tequila, dann den Grenadinesirup.",,,,Absinthe,Tequila,Grenadine,,,,,,,,,,,,,2/5 ,2/5 ,1/5 ,,,,,,,,,,,,,No,2016-10-05 12:35:35
250,Paloma,17253,,,,,,,,,Cocktail,,Alcoholic,Collins glass,Stir together and serve over ice.,,Zusammenrühren und über Eis servieren.,,,,Grape Soda,Tequila,,,,,,,,,,,,,,3 oz,1 1/2 oz,,,,,,,,,,,,,,No,2017-12-19 17:59:53
